YOUR ZONE LOCATOR†

For shipments originating in ZIP code(s):
79200-79299

How to use this chart:

Shipping with FedEx distance-based rates is easy
with this Zone Locator specially customized to your
origin location. It shows the zone for anywhere your
FedEx Express® or FedEx Ground® shipment is going.
Here's all you do:

1. Find your recipient's ZIP code in this list using
   either the first three digits or the full ZIP code,
   whichever is shown.
2. See which zone the ZIP code corresponds to,
   then turn to that zone in the appropriate FedEx
   rate tables.
3. Find your rate under the shipment weight and
   FedEx® service you choose.

Effective: 01/17/2009
-------------------------------------------------------------------------------
CONTIGUOUS U.S.
-------------------------------------------------------------------------------
"Destination Zip","Zone",
"000-004","NA",
"005","7",
"010-045","7",
"046-047","8",
"048-139","7",
"140-179","6",
"180-181","7",
"182","6",
"183","7",
"184-187","6",
"188-194","7",
"195-212","6",
"213","NA",
"214-268","6",
"269","NA",
"270-286","6",
"287-289","5",
"290-299","6",
"300-303","5",
"304","6",
"305-307","5",
"308-309","6",
"310-312","5",
"313-316","6",
"317-319","5",
"320-322","6",
"323-325","5",
"326-342","6",
"343","NA",
"344","6",
"345","NA",
"346-347","6",
"348","NA",
"349","6",
"350-352","5",
"353","NA",
"354-374","5",
"375","4",
"376","6",
"377-379","5",
"380-381","4",
"382-385","5",
"386-387","4",
"388","5",
"389-392","4",
"393-395","5",
"396","4",
"397-418","5",
"419","NA",
"420-427","5",
"428-429","NA",
"430-432","5",
"433-449","6",
"450-455","5",
"456-457","6",
"458-479","5",
"480-487","6",
"488-491","5",
"492","6",
"493-495","5",
"496-497","6",
"498-507","5",
"508","4",
"509","5",
"510-511","4",
"512-514","5",
"515-516","4",
"517-519","NA",
"520-528","5",
"529","NA",
"530-532","5",
"533","NA",
"534-535","5",
"536","NA",
"537-551","5",
"552","NA",
"553-567","5",
"568-569","NA",
"570-577","5",
"578-579","NA",
"580-588","5",
"589","NA",
"590-593","5",
"594-599","6",
"600-620","5",
"621","NA",
"622-631","5",
"632","NA",
"633-634","5",
"635-636","4",
"637","5",
"638-641","4",
"642-643","NA",
"644-658","4",
"659","NA",
"660-662","4",
"663","NA",
"664-669","4",
"670-672","3",
"673-674","4",
"675-676","3",
"677","4",
"678-679","3",
"680-681","4",
"682","NA",
"683-693","4",
"694-699","NA",
"700-701","5",
"702","NA",
"703-704","5",
"705-708","4",
"709","NA",
"710-714","4",
"715","NA",
"716-729","4",
"730-731","2",
"732","NA",
"733-734","3",
"735-736","2",
"737","3",
"738","2",
"739-741","3",
"742","NA",
"743","4",
"744-748","3",
"749","4",
"750-754","3",
"755-756","4",
"757-758","3",
"759","4",
"760-762","3",
"763","2",
"764-769","3",
"770-785","4",
"786-787","3",
"788-789","4",
"790-796","2",
"797","3",
"798-816","4",
"817-819","NA",
"820","4",
"821","5",
"822","4",
"823-834","5",
"835-838","6",
"839","NA",
"840-847","5",
"848-849","NA",
"850","5",
"851","NA",
"852-853","5",
"854","NA",
"855","4",
"856-857","5",
"858","NA",
"859","4",
"860","5",
"861-862","NA",
"863-864","5",
"865","4",
"866-869","NA",
"870-875","4",
"876","NA",
"877","3",
"878-880","4",
"881-882","3",
"883","4",
"884","3",
"885","4",
"886-888","NA",
"889-891","5",
"892","NA",
"893","5",
"894-895","6",
"896","NA",
"897","6",
"898","5",
"899","NA",
"900-908","6",
"909","NA",
"910-918","6",
"919-928","5",
"929","NA",
"930-966","6",
"970-972","7",
"973-979","6",
"980-986","7",
"987","NA",
"988-994","6",


-------------------------------------------------------------------------------
ALASKA - HAWAII - PUERTO RICO
-------------------------------------------------------------------------------
"Destination Zip","FedEx Express Zone","FedEx Ground Zone",
"006-007","NA","10",
"008","NA","NA",
"009","NA","10",
"96700","12","9",
"96701","10","9",
"96702-96705","12","9",
"96706-96707","10","9",
"96708","12","9",
"96709","10","9",
"96710","12","9",
"96711-96712","10","9",
"96713-96716","12","9",
"96717","10","9",
"96718-96729","12","9",
"96730-96731","10","9",
"96732-96733","12","9",
"96734","10","9",
"96735-96743","12","9",
"96744","10","9",
"96745-96757","12","9",
"96758-96759","10","9",
"96760-96761","12","9",
"96762","10","9",
"96763-96774","12","9",
"96775","10","9",
"96776-96781","12","9",
"96782","10","9",
"96783-96788","12","9",
"96789","10","9",
"96790","12","9",
"96791-96792","10","9",
"96793","12","9",
"96794-96795","10","9",
"96796","12","9",
"96797","10","9",
"96798","12","9",
"96800","12","9",
"96801-96863","10","9",
"96864-96899","12","9",
"969","NA","NA",
"99500","11","17",
"99501-99524","9","17",
"99525-99539","11","17",
"99540","9","17",
"99541-99566","11","17",
"99567","9","17",
"99568-99576","11","17",
"99577","9","17",
"99578-99999","11","17",

-------------------------------------------------------------------------------

Zones differ for FedEx Express and FedEx Ground services outside the contiguous
U.S. Refer to the appropriate service rate guides to determine your shipping costs.

To request a zone locator, go to fedex.com/us/rates/ratetools.html and select“Get zone locator,” or call 1.800.GoFedEx 1.800.463.3339.

†FedEx reserves the right to modify its services and zone structure without notice.

Note: Go to fedex.com for information on FedEx Home Delivery® service.
NA = Not applicable or ZIP code(s) not assigned.
